コード,都道府県,市区町村,市区町村カナ,市区町村かな,緯度,経度
011011,北海道,札幌市中央区,サッポロシチュウオウク,さっぽろしちゅうおうく,43.05546,141.340956
011029,北海道,札幌市北区,サッポロシキタク,さっぽろしきたく,43.09085,141.340831
011037,北海道,札幌市東区,サッポロシヒガシク,さっぽろしひがしく,43.076069,141.363722
011045,北海道,札幌市白石区,サッポロシシロイシク,さっぽろししろいしく,43.047687,141.405078
011053,北海道,札幌市豊平区,サッポロシトヨヒラク,さっぽろしとよひらく,43.031291,141.380106
011061,北海道,札幌市南区,サッポロシミナミク,さっぽろしみなみく,42.990031,141.353497
011070,北海道,札幌市西区,サッポロシニシク,さっぽろしにしく,43.07447,141.300889
011088,北海道,札幌市厚別区,サッポロシアツベツク,さっぽろしあつべつく,43.036408,141.474789
011096,北海道,札幌市手稲区,サッポロシテイネク,さっぽろしていねく,43.121944,141.245632
011100,北海道,札幌市清田区,サッポロシキヨタク,さっぽろしきよたく,42.999636,141.44383
012025,北海道,函館市,ハコダテシ,はこだてし,41.768793,140.72881
012033,北海道,小樽市,オタルシ,おたるし,43.190717,140.994662
012041,北海道,旭川市,アサヒカワシ,あさひかわし,43.770636,142.364819
012050,北海道,室蘭市,ムロランシ,むろらんし,42.315231,140.973799
012068,北海道,釧路市,クシロシ,くしろし,42.984854,144.381356
012076,北海道,帯広市,オビヒロシ,おびひろし,42.923899,143.196103
012084,北海道,北見市,キタミシ,きたみし,43.804031,143.895876
012092,北海道,夕張市,ユウバリシ,ゆうばりし,43.056734,141.973896
012106,北海道,岩見沢市,イワミザワシ,いわみざわし,43.196206,141.775933
012114,北海道,網走市,アバシリシ,あばしりし,44.020632,144.273398
012122,北海道,留萌市,ルモイシ,るもいし,43.940987,141.637012
012131,北海道,苫小牧市,トマコマイシ,とまこまいし,42.634302,141.605372
012149,北海道,稚内市,ワッカナイシ,わっかないし,45.415664,141.673082
012157,北海道,美唄市,ビバイシ,びばいし,43.332881,141.853785
012165,北海道,芦別市,アシベツシ,あしべつし,43.518166,142.189436
012173,北海道,江別市,エベツシ,えべつし,43.103745,141.536247
012181,北海道,赤平市,アカビラシ,あかびらし,43.558074,142.044211
012190,北海道,紋別市,モンベツシ,もんべつし,44.356484,143.354503
012203,北海道,士別市,シベツシ,しべつし,44.178734,142.400404
012211,北海道,名寄市,ナヨロシ,なよろし,44.355938,142.463167
012220,北海道,三笠市,ミカサシ,みかさし,43.245435,141.875327
012238,北海道,根室市,ネムロシ,ねむろし,43.330076,145.58279
012246,北海道,千歳市,チトセシ,ちとせし,42.820958,141.650876
012254,北海道,滝川市,タキカワシ,たきかわし,43.557795,141.91019
012262,北海道,砂川市,スナガワシ,すながわし,43.494843,141.903465
012271,北海道,歌志内市,ウタシナイシ,うたしないし,43.521353,142.034568
012289,北海道,深川市,フカガワシ,ふかがわし,43.72326,142.053538
012297,北海道,富良野市,フラノシ,ふらのし,43.34214,142.383225
012301,北海道,登別市,ノボリベツシ,のぼりべつし,42.41276,141.106632
012319,北海道,恵庭市,エニワシ,えにわし,42.882562,141.577815
