コード,都道府県名,緯度,経度
1,北海道,34.975140,138.383243
2,青森県,34.975140,138.383243
3,岩手県,34.975140,138.383243
4,宮城県,34.975140,138.383243
5,秋田県,34.975140,138.383243
6,山形県,34.975140,138.383243
7,福島県,34.975140,138.383243
8,茨城県,34.975140,138.383243
9,栃木県,34.975140,138.383243
10,群馬県,34.975140,138.383243
11,埼玉県,34.975140,138.383243
12,千葉県,34.975140,138.383243
13,東京都,34.975140,138.383243
14,神奈川県,34.975140,138.383243
15,新潟県,34.975140,138.383243
16,富山県,34.975140,138.383243
17,石川県,34.975140,138.383243
18,福井県,34.975140,138.383243
19,山梨県,34.975140,138.383243
20,長野県,34.975140,138.383243
21,岐阜県,34.975140,138.383243
22,静岡県,34.975140,138.383243
23,愛知県,34.975140,138.383243
24,三重県,34.975140,138.383243
25,滋賀県,34.975140,138.383243
26,京都府,34.975140,138.383243
27,大阪府,34.975140,138.383243
28,兵庫県,34.975140,138.383243
29,奈良県,34.975140,138.383243
30,和歌山県,34.975140,138.383243
31,鳥取県,34.975140,138.383243
32,島根県,34.975140,138.383243
33,岡山県,34.975140,138.383243
34,広島県,34.975140,138.383243
35,山口県,34.975140,138.383243
36,徳島県,34.975140,138.383243
37,香川県,34.975140,138.383243
38,愛媛県,34.975140,138.383243
39,高知県,34.975140,138.383243
40,福岡県,34.975140,138.383243
41,佐賀県,34.975140,138.383243
42,長崎県,34.975140,138.383243
43,熊本県,34.975140,138.383243
44,大分県,34.975140,138.383243
45,宮崎県,34.975140,138.383243
46,鹿児島県,34.975140,138.383243
47,沖縄県,34.975140,138.383243
